From	Usage	To	Weight	 	 
.chart.ChartFactory	uses	.chart.renderer.category.BarRenderer	3		
.chart.ChartFactory	uses	.chart.labels.ItemLabelPosition	4		
.chart.ChartFactory	uses	.chart.renderer.AbstractRenderer	4		
.chart.ChartFactory	uses	.data.xy.XYZDataset	1		
.chart.ChartFactory	uses	.chart.urls.StandardXYZURLGenerator	2		
.chart.ChartFactory	uses	.chart.renderer.xy.XYBubbleRenderer	2		
.chart.ChartFactory	uses	.chart.labels.StandardXYZToolTipGenerator	2		
.chart.ChartFactory	uses	.data.xy.OHLCDataset	3		
.chart.ChartFactory	uses	.chart.axis.Timeline	1		
.chart.ChartFactory	uses	.chart.renderer.xy.HighLowRenderer	4		
.chart.ChartFactory	uses	.chart.labels.HighLowItemLabelGenerator	4		
.chart.ChartFactory	uses	.chart.renderer.xy.AbstractXYItemRenderer	8		
.chart.ChartFactory	uses	.chart.plot.PolarPlot	5		
.chart.ChartFactory	uses	.chart.renderer.PolarItemRenderer	1		
.chart.ChartFactory	uses	.chart.renderer.DefaultPolarItemRenderer	2		
.chart.ChartFactory	uses	.chart.axis.Axis	3		
.chart.ChartFactory	uses	.data.xy.IntervalXYDataset	2		
.chart.ChartFactory	uses	.chart.renderer.xy.XYBarRenderer	5		
.chart.ChartFactory	uses	.chart.renderer.category.AreaRenderer	2		
.chart.ChartFactory	uses	.chart.renderer.xy.XYAreaRenderer	2		
.chart.ChartFactory	uses	.util.TableOrder	2		
.chart.ChartFactory	uses	.chart.plot.MultiplePiePlot	9		
.chart.ChartFactory	uses	.chart.renderer.category.StackedAreaRenderer	2		
.chart.ChartFactory	uses	.chart.renderer.xy.XYStepAreaRenderer	2		
.chart.ChartFactory	uses	.data.xy.WindDataset	1		
.chart.ChartFactory	uses	.chart.renderer.xy.WindItemRenderer	2		
.chart.ChartFactory	uses	.chart.renderer.category.LineRenderer3D	2		
.chart.ChartFactory	uses	.chart.renderer.category.BarRenderer3D	2		
.chart.ChartFactory	uses	.chart.renderer.category.StackedBarRenderer	2		
.chart.ChartFactory	uses	.chart.renderer.category.LineAndShapeRenderer	2		
.chart.ChartFactory	uses	.chart.renderer.xy.GradientXYBarPainter	2		
.chart.ChartFactory	uses	.chart.renderer.category.StandardBarPainter	2		
.chart.ChartFactory	uses	.chart.renderer.category.BarPainter	1		
.chart.ChartFactory	uses	.chart.renderer.xy.StandardXYBarPainter	2		
.chart.ChartFactory	uses	.chart.renderer.xy.XYBarPainter	1		
.chart.ChartFactory	uses	.chart.StandardChartTheme	4		
.chart.ChartFactory	uses	.chart.renderer.category.GradientBarPainter	2		
.chart.ChartFactory	uses	.ui.RectangleEdge	2		
.chart.ChartFactory	uses	.ui.Layer	2		
.chart.ChartFactory	uses	.chart.renderer.category.WaterfallBarRenderer	2		
.chart.ChartFactory	uses	.chart.plot.Marker	2		
.chart.ChartFactory	uses	.chart.plot.ValueMarker	2		
.chart.ChartFactory	uses	.data.category.IntervalCategoryDataset	1		
.chart.ChartFactory	uses	.chart.renderer.category.GanttRenderer	2		
.chart.ChartFactory	uses	.chart.labels.IntervalCategoryToolTipGenerator	2		
.chart.ChartFactory	uses	.data.general.WaferMapDataset	1		
.chart.ChartFactory	uses	.chart.renderer.WaferMapRenderer	2		
.chart.ChartFactory	uses	.chart.plot.WaferMapPlot	3		
.chart.ChartFactory	uses	.data.xy.TableXYDataset	1		
.chart.ChartFactory	uses	.chart.renderer.xy.StackedXYAreaRenderer2	2		
.chart.ChartFactory	uses	.chart.renderer.xy.XYAreaRenderer2	1		
.chart.ChartFactory	uses	.chart.renderer.xy.CandlestickRenderer	2		
.chart.ChartFrame	contains	.chart.ChartPanel	5		
.chart.ChartFrame	uses	.chart.JFreeChart	2		
.chart.ChartMouseEvent	contains	.chart.JFreeChart	4		
.chart.ChartMouseEvent	contains	.chart.entity.ChartEntity	4		
